YEAR GRAD,STUDENT ID,AGE,RACE,GENDER,JOB STATUS,COMPANY NAME,JOB FIELD,STATE,PROGRAM ID,PROGRAM NAME,SALARY,CLASS MODE,COST,PROGRAM TYPE,AGE GROUP,AGE CLEAN
2023,WBPN21389,35,INDIA,MALE,BEKERJA SEPENUH MASA,GRAB SDN BHD,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL ACTIVITIES",KUALA LUMPUR,362,BACELOR EKSEKUTIF PENGURUSAN PERNIAGAAN,3500.00,ONLINE,5706,BACELOR,30-39,35.0
2023,WBPN21391,46,MELAYU,MALE,BEKERJA/USAHAWAN/FREELANCE,SUZAINIE ENTERPRISE,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL ACTIVITIES",SARAWAK,362,BACELOR EKSEKUTIF PENGURUSAN PERNIAGAAN,2500.00,ONLINE,4372,BACELOR,40-49,46.0
2023,WBPN21397,45,BAJAU - SABAH,MALE,BEKERJA SEPENUH MASA,HAP SENG PLANTATIONS,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL ACTIVITIES",SABAH,362,BACELOR EKSEKUTIF PENGURUSAN PERNIAGAAN,3500.00,ONLINE,5517,BACELOR,40-49,45.0
2023,WBPN21404,46,MELAYU,FEMALE,BEKERJA SEPENUH MASA,"SIPCHEM EUROPE SA, ROUTE DE LAVAUX 35, 1095 LUTRY, SWITZERLAND","PROFESSIONAL, SCIENTIFIC, AND TECHNICAL ACTIVITIES",SELANGOR,362,BACELOR EKSEKUTIF PENGURUSAN PERNIAGAAN,5500.00,ONLINE,4729,BACELOR,40-49,46.0
2023,WBPN21410,35,INDIA,MALE,BEKERJA SEPENUH MASA,ETIKA BEVERAGES SDN BHD,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL ACTIVITIES",SELANGOR,362,BACELOR EKSEKUTIF PENGURUSAN PERNIAGAAN,7875.00,ONLINE,4618,BACELOR,30-39,35.0
2023,WBPN21420,40,CANTONESE,FEMALE,BEKERJA SEPENUH MASA,RHB BANK BERHAD,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL ACTIVITIES",KUALA LUMPUR,362,BACELOR EKSEKUTIF PENGURUSAN PERNIAGAAN,4000.00,ONLINE,5048,BACELOR,40-49,40.0
2023,WBPN21421,28,MELAYU,FEMALE,BEKERJA SEPENUH MASA,HALLIBURTON TECHNOLOGY AND MANUFACTURING CENTER,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL ACTIVITIES",JOHOR,362,BACELOR EKSEKUTIF PENGURUSAN PERNIAGAAN,6900.00,ONLINE,4231,BACELOR,<29,28.0
2023,WBPN21422,31,INDIA,FEMALE,BEKERJA SEPENUH MASA,KLINIK PERGIGIAN CHONG,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL ACTIVITIES",KUALA LUMPUR,362,BACELOR EKSEKUTIF PENGURUSAN PERNIAGAAN,1850.00,ONLINE,5026,BACELOR,30-39,31.0
2023,WBPN21424,27,CINA,MALE,BEKERJA SEPENUH MASA,ALLIANCE BANK MALAYSIA BERHAD,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL ACTIVITIES",PAHANG,362,BACELOR EKSEKUTIF PENGURUSAN PERNIAGAAN,3000.00,ONLINE,5269,BACELOR,<29,27.0
2023,WBPN21425,31,MELAYU,MALE,BEKERJA SEPENUH MASA,MAHKOTA TECHNOLOGIES SDN BHD,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL ACTIVITIES",JOHOR,362,BACELOR EKSEKUTIF PENGURUSAN PERNIAGAAN,8500.00,ONLINE,5323,BACELOR,30-39,31.0
